Fecha;pm25;so2;ws;wd
180402;6;1,73;0,896925296;211,4321917
180403;14;4,45;2,172216208;199,5748225
180404;12;4,28;1,941683542;158,509025
180405;14;7,3;1,648157417;147,185975
180406;10;1,7;1,252532208;135,8284083
180407;13;3,06;2,009725167;217,4550417
180408;15;4,17;1,651492617;181,7899958
180409;10;2,5;1,619989083;154,5255917
180410;12;2,51;1,842605833;150,632185
180411;6;3,76;2,016668792;178,4806625
180412;12;7,74;2,327227708;174,9632417
180413;14;5,69;2,282825183;145,9930083
180414;18;6,99;1,941802542;151,4821258
180415;22;3,96;1,215011708;144,0096458
180416;22;5,85;1,7918255;205,8910458
180417;13;3,51;1,751265917;149,9320367
180418;12;2,45;1,906217542;161,4539583
180419;15;7,09;2,100032375;158,1987333
180420;21;9,16;1,570385375;142,1838833
180421;16;3,99;1,792240979;173,8535542
180422;17;11,08;1,608841708;194,0735042
180423;12;6,34;1,089497092;154,5104046
180424;14;2,92;1,943185458;130,159685
180425;18;9,51;1,726809417;141,2093321
180426;16;10,68;1,679013292;150,6302542
180427;15;8,39;1,966805458;158,375775
180428;19;4,27;1,294363792;134,967257
180429;14;2,04;1,286801833;152,6125667
180430;22;4,08;1,267819404;152,1215792
180501;24;6,62;1,643606192;159,1261917
180502;17;17,5;1,811671125;163,8935617
180503;16;5,74;1,827157083;151,5037804
180504;11;7,99;1,383103333;166,0577458
180505;19;1,69;1,125316625;111,8544
180506;13;1,68;1,087277833;141,1748513
180507;12;8,97;1,327028;176,6002025
180508;8;7,77;1,175032;188,6801458
180509;16;7,52;1,424658833;145,7827375
180510;16;14,39;1,951769875;167,8442875
180511;18;16,93;1,498356663;141,0427375
180512;21;9,1;1,153784042;181,8326333
180513;22;8,7;1,118459833;162,6200792
180514;20;11,51;1,458499417;142,0968221
180515;18;11,8;0,93905625;134,2518775
180516;17;7,25;1,803687208;171,1175292
180517;17;9,82;1,706584792;150,53935
180518;17;11,8;1,672255542;166,1182696
180519;28;9,51;1,52251675;163,5417333
180520;26;6,96;1,955669042;175,415225
180521;12;5,7;1,509859083;138,1650583
180522;18;12,57;1,420718958;132,4217888
